schema_version,session_id,starting_daily_pnl_usd,starting_utc_day,utc_day,config_fingerprint,code_fingerprint,selected_sports,ts,ticker,sport,league,series_ticker,milestone_id,event_ticker,scheduled_start_ts,event,detail,close_ts,can_close_early,mid,bid,ask,bid_qty,ask_qty
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304013.475785,KXITFWMATCH-26JUL29HOSDYU-DYU,Tennis,,KXITFWMATCH,eff22484-a537-4944-bd0e-5664e98b54bd,KXITFWMATCH-26JUL29HOSDYU,1785301687.0,quote,,1786510800.0,true,76.5000,75.0000,78.0000,33.00,516.41
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304015.053916,KXITFMATCH-26JUL28PADSAT-PAD,Tennis,,KXITFMATCH,03e1243d-7dee-4056-a032-cb914b77515a,KXITFMATCH-26JUL28PADSAT,1785294636.0,quote,,1786501800.0,true,35.5000,35.0000,36.0000,19646.91,42928.18
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304015.2080698,KXITFMATCH-26JUL28WENJON-JON,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,65.5000,65.0000,66.0000,11449.17,23145.93
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304015.278819,KXITFMATCH-26JUL28WENJON-WEN,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,34.5000,34.0000,35.0000,7012.56,22427.24
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304015.3495371,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,72.5000,72.0000,73.0000,2369.89,5022.02
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304015.4237728,KXITFWMATCH-26JUL29SOZMIL-MIL,Tennis,,KXITFWMATCH,0ba82ca4-7c3d-4fe6-9763-af01f430c473,KXITFWMATCH-26JUL29SOZMIL,1785301725.0,quote,,1786510800.0,true,93.5000,93.0000,94.0000,3299.90,2425.29
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304015.496321,KXITFWMATCH-26JUL29YOSKIM-KIM,Tennis,,KXITFWMATCH,9b9eecb5-c6a0-414a-bcf3-57262192676d,KXITFWMATCH-26JUL29YOSKIM,1785301851.0,quote,,1786510800.0,true,56.5000,56.0000,57.0000,5719.34,59.56
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304015.5664132,KXITFMATCH-26JUL28CHAHEI-HEI,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,26.0000,25.0000,27.0000,5152.60,1542.00
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304015.672105,KXITFWMATCH-26JUL29SOZMIL-SOZ,Tennis,,KXITFWMATCH,0ba82ca4-7c3d-4fe6-9763-af01f430c473,KXITFWMATCH-26JUL29SOZMIL,1785301725.0,quote,,1786510800.0,true,6.5000,6.0000,7.0000,1792.29,4914.32
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304015.745305,KXITFMATCH-26JUL29BRAPIE-PIE,Tennis,,KXITFMATCH,e7bed978-f0a4-4bc6-8904-d9b6730590e4,KXITFMATCH-26JUL29BRAPIE,1785305498.0,quote,,1786514400.0,true,85.5000,85.0000,86.0000,3461.00,1059.07
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304015.816254,KXITFWMATCH-26JUL29HOSDYU-DYU,Tennis,,KXITFWMATCH,eff22484-a537-4944-bd0e-5664e98b54bd,KXITFWMATCH-26JUL29HOSDYU,1785301687.0,quote,,1786510800.0,true,76.5000,75.0000,78.0000,33.00,516.41
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304017.3971798,KXITFMATCH-26JUL28PADSAT-PAD,Tennis,,KXITFMATCH,03e1243d-7dee-4056-a032-cb914b77515a,KXITFMATCH-26JUL28PADSAT,1785294636.0,quote,,1786501800.0,true,36.0000,35.0000,37.0000,5.00,2.00
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304017.467808,KXITFMATCH-26JUL28WENJON-JON,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,65.5000,65.0000,66.0000,11449.17,23145.93
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304017.537686,KXITFMATCH-26JUL28WENJON-WEN,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,34.5000,34.0000,35.0000,7012.56,22427.24
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304017.607789,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,72.5000,72.0000,73.0000,2369.89,5022.02
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304017.7690098,KXITFWMATCH-26JUL29SOZMIL-MIL,Tennis,,KXITFWMATCH,0ba82ca4-7c3d-4fe6-9763-af01f430c473,KXITFWMATCH-26JUL29SOZMIL,1785301725.0,quote,,1786510800.0,true,93.5000,93.0000,94.0000,3299.90,2425.29
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304017.8385558,KXITFWMATCH-26JUL29YOSKIM-KIM,Tennis,,KXITFWMATCH,9b9eecb5-c6a0-414a-bcf3-57262192676d,KXITFWMATCH-26JUL29YOSKIM,1785301851.0,quote,,1786510800.0,true,56.5000,56.0000,57.0000,5719.34,59.56
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304017.908405,KXITFMATCH-26JUL28CHAHEI-HEI,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,27.5000,27.0000,28.0000,3639.12,4341.80
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304017.9801111,KXITFWMATCH-26JUL29SOZMIL-SOZ,Tennis,,KXITFWMATCH,0ba82ca4-7c3d-4fe6-9763-af01f430c473,KXITFWMATCH-26JUL29SOZMIL,1785301725.0,quote,,1786510800.0,true,6.5000,6.0000,7.0000,1792.29,4914.32
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304018.051744,KXITFMATCH-26JUL29BRAPIE-PIE,Tennis,,KXITFMATCH,e7bed978-f0a4-4bc6-8904-d9b6730590e4,KXITFMATCH-26JUL29BRAPIE,1785305498.0,quote,,1786514400.0,true,85.5000,85.0000,86.0000,3461.00,1059.07
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304018.124521,KXITFWMATCH-26JUL29HOSDYU-DYU,Tennis,,KXITFWMATCH,eff22484-a537-4944-bd0e-5664e98b54bd,KXITFWMATCH-26JUL29HOSDYU,1785301687.0,quote,,1786510800.0,true,76.5000,75.0000,78.0000,33.00,316.41
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304019.701215,KXITFMATCH-26JUL28PADSAT-PAD,Tennis,,KXITFMATCH,03e1243d-7dee-4056-a032-cb914b77515a,KXITFMATCH-26JUL28PADSAT,1785294636.0,quote,,1786501800.0,true,36.0000,35.0000,37.0000,5.00,2.00
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304019.7703738,KXITFMATCH-26JUL28WENJON-JON,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,65.5000,65.0000,66.0000,11449.17,23145.93
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304019.9284391,KXITFMATCH-26JUL28WENJON-WEN,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,34.5000,34.0000,35.0000,7012.56,22427.24
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304019.999346,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,72.5000,72.0000,73.0000,2369.89,5022.02
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304020.070431,KXITFWMATCH-26JUL29SOZMIL-MIL,Tennis,,KXITFWMATCH,0ba82ca4-7c3d-4fe6-9763-af01f430c473,KXITFWMATCH-26JUL29SOZMIL,1785301725.0,quote,,1786510800.0,true,93.5000,93.0000,94.0000,3299.90,2425.29
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304020.141493,KXITFWMATCH-26JUL29YOSKIM-KIM,Tennis,,KXITFWMATCH,9b9eecb5-c6a0-414a-bcf3-57262192676d,KXITFWMATCH-26JUL29YOSKIM,1785301851.0,quote,,1786510800.0,true,56.5000,56.0000,57.0000,5719.34,59.56
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304020.2140338,KXITFMATCH-26JUL28CHAHEI-HEI,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,27.5000,27.0000,28.0000,3639.12,4341.80
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304020.283832,KXITFWMATCH-26JUL29SOZMIL-SOZ,Tennis,,KXITFWMATCH,0ba82ca4-7c3d-4fe6-9763-af01f430c473,KXITFWMATCH-26JUL29SOZMIL,1785301725.0,quote,,1786510800.0,true,6.5000,6.0000,7.0000,1792.29,4914.32
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304020.384609,KXITFMATCH-26JUL29BRAPIE-PIE,Tennis,,KXITFMATCH,e7bed978-f0a4-4bc6-8904-d9b6730590e4,KXITFMATCH-26JUL29BRAPIE,1785305498.0,quote,,1786514400.0,true,85.5000,85.0000,86.0000,3461.00,1059.07
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304020.455738,KXITFWMATCH-26JUL29HOSDYU-DYU,Tennis,,KXITFWMATCH,eff22484-a537-4944-bd0e-5664e98b54bd,KXITFWMATCH-26JUL29HOSDYU,1785301687.0,quote,,1786510800.0,true,76.5000,75.0000,78.0000,33.00,316.41
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304022.034783,KXITFMATCH-26JUL28PADSAT-PAD,Tennis,,KXITFMATCH,03e1243d-7dee-4056-a032-cb914b77515a,KXITFMATCH-26JUL28PADSAT,1785294636.0,quote,,1786501800.0,true,36.0000,35.0000,37.0000,5.00,2.00
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304022.1054652,KXITFMATCH-26JUL28WENJON-JON,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,65.5000,65.0000,66.0000,11449.17,22295.93
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304022.176745,KXITFMATCH-26JUL28WENJON-WEN,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,34.5000,34.0000,35.0000,7012.56,22427.24
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304022.247025,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,72.5000,72.0000,73.0000,2369.89,5022.02
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304022.319062,KXITFWMATCH-26JUL29SOZMIL-MIL,Tennis,,KXITFWMATCH,0ba82ca4-7c3d-4fe6-9763-af01f430c473,KXITFWMATCH-26JUL29SOZMIL,1785301725.0,quote,,1786510800.0,true,93.5000,93.0000,94.0000,3299.90,2425.29
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304022.390199,KXITFWMATCH-26JUL29YOSKIM-KIM,Tennis,,KXITFWMATCH,9b9eecb5-c6a0-414a-bcf3-57262192676d,KXITFWMATCH-26JUL29YOSKIM,1785301851.0,quote,,1786510800.0,true,56.5000,56.0000,57.0000,5719.34,59.56
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304022.549671,KXITFMATCH-26JUL28CHAHEI-HEI,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,27.5000,27.0000,28.0000,3639.12,4341.80
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304022.619887,KXITFWMATCH-26JUL29SOZMIL-SOZ,Tennis,,KXITFWMATCH,0ba82ca4-7c3d-4fe6-9763-af01f430c473,KXITFWMATCH-26JUL29SOZMIL,1785301725.0,quote,,1786510800.0,true,6.5000,6.0000,7.0000,1792.29,4914.32
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304022.6907892,KXITFMATCH-26JUL29BRAPIE-PIE,Tennis,,KXITFMATCH,e7bed978-f0a4-4bc6-8904-d9b6730590e4,KXITFMATCH-26JUL29BRAPIE,1785305498.0,quote,,1786514400.0,true,85.5000,85.0000,86.0000,3461.00,1059.07
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304022.761801,KXITFWMATCH-26JUL29HOSDYU-DYU,Tennis,,KXITFWMATCH,eff22484-a537-4944-bd0e-5664e98b54bd,KXITFWMATCH-26JUL29HOSDYU,1785301687.0,quote,,1786510800.0,true,76.5000,75.0000,78.0000,33.00,316.41
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304024.34008,KXITFMATCH-26JUL28PADSAT-PAD,Tennis,,KXITFMATCH,03e1243d-7dee-4056-a032-cb914b77515a,KXITFMATCH-26JUL28PADSAT,1785294636.0,quote,,1786501800.0,true,36.0000,35.0000,37.0000,5.00,2.00
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304024.417428,KXITFMATCH-26JUL28WENJON-JON,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,65.5000,65.0000,66.0000,11449.17,22295.93
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304024.48931,KXITFMATCH-26JUL28WENJON-WEN,Tennis,,KXITFMATCH,5195be65-3a9b-423a-9e35-55f2f5840354,KXITFMATCH-26JUL28WENJON,1785299448.0,quote,,1786501800.0,true,33.0000,32.0000,34.0000,63.00,142.35
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304024.642678,KXITFMATCH-26JUL28CHAHEI-CHA,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,72.5000,72.0000,73.0000,2369.89,5022.02
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304024.715657,KXITFWMATCH-26JUL29SOZMIL-MIL,Tennis,,KXITFWMATCH,0ba82ca4-7c3d-4fe6-9763-af01f430c473,KXITFWMATCH-26JUL29SOZMIL,1785301725.0,quote,,1786510800.0,true,93.5000,93.0000,94.0000,3299.90,2425.29
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304024.788162,KXITFWMATCH-26JUL29YOSKIM-KIM,Tennis,,KXITFWMATCH,9b9eecb5-c6a0-414a-bcf3-57262192676d,KXITFWMATCH-26JUL29YOSKIM,1785301851.0,quote,,1786510800.0,true,56.5000,56.0000,57.0000,5469.34,59.56
6,ed2086c87d52482699dee6d41678911f,0,2026-07-29,2026-07-29,29354e42ef0c3a5dcfab2220f035fd1be5874df613426379bae1f33e112f560b,996bed4920d57ac31c4fb24ea30428fd6f75ebf5eff9ad3e616c6bcf81f64d7c,"[""Tennis""]",1785304024.8607519,KXITFMATCH-26JUL28CHAHEI-HEI,Tennis,,KXITFMATCH,5ba6a34a-c169-4b0b-b8fd-b835a2127855,KXITFMATCH-26JUL28CHAHEI,1785299809.0,quote,,1786505400.0,true,27.5000,27.0000,28.0000,3639.12,4341.80
